date,composition,portfolio_value
2021-01-18,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",192.05718201883346
2021-01-19,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",198.33643299889025
2021-01-20,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",191.91924635800257
2021-01-21,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",197.9046468276539
2021-01-22,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",161.11905096500433
2021-01-23,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",185.37327590209057
2021-01-24,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",192.94679513363494
2021-01-25,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",225.93609297132807
2021-01-26,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",210.0798858904823
2021-01-27,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",229.44001497285123
