timestamp,price,market_cap,coin_id
2020-12-31,4.148643644474213,895773489.9060061,uniswap
2021-01-01,5.171078271992416,1099631636.1653872,uniswap
2021-01-02,4.744909770955848,1022200635.8040441,uniswap
2021-01-03,4.8638885945031936,1044423165.7654226,uniswap
2021-01-04,5.414757447881926,1202761112.676848,uniswap
2021-01-05,5.2688424324048215,1126797182.5802603,uniswap
2021-01-06,6.330039540016079,1362188547.6343179,uniswap
2021-01-07,6.40667314597079,1373830072.1371005,uniswap
2021-01-08,6.28002103259672,1347490392.6306486,uniswap
2021-01-09,5.903025778292023,1270376211.550848,uniswap
2021-01-10,6.262801429858156,1357012421.554772,uniswap
2021-01-11,6.018278998231146,1303546945.5403168,uniswap
2021-01-12,5.236977252369884,1121096311.700495,uniswap
2021-01-13,5.559993812411417,1195720707.535306,uniswap
2021-01-14,6.334450385881794,1358006365.812793,uniswap
2021-01-15,6.829704203290314,1455037823.3210673,uniswap
2021-01-16,7.368167682944275,1602472033.421857,uniswap
2021-01-17,8.424171550248074,1813071125.511511,uniswap
2021-01-18,8.671467056811906,1885359961.3471706,uniswap
2021-01-19,9.18860904058513,1956879124.5671573,uniswap
2021-01-20,8.62100745902781,1873169648.1414063,uniswap
2021-01-21,9.032074483778295,1935928979.245395,uniswap
2021-01-22,7.637283628607471,1646769126.744525,uniswap
2021-01-23,8.711255875570838,1878962888.688168,uniswap
2021-01-24,9.298225615765372,1999895064.9501379,uniswap
2021-01-25,12.008801004555899,3457719717.4881573,uniswap
2021-01-26,11.396887817550288,3257781268.7760725,uniswap
2021-01-27,13.79671791735524,3910299627.3158913,uniswap
2021-01-28,14.826944209191103,4262672055.7619066,uniswap
2021-01-29,14.161866549890156,4050510658.044183,uniswap
2021-01-30,15.645275352345399,4457719714.651553,uniswap
2021-01-31,19.390026684593842,5526735076.374684,uniswap
2021-02-01,17.638787124819952,5088183581.45538,uniswap
2021-02-02,20.358868956868168,5871493276.726128,uniswap
2021-02-03,19.072254090511567,5508085635.714836,uniswap
2021-02-04,19.826955201427335,5686308871.089227,uniswap
2021-02-05,20.046299963873743,5769499937.505494,uniswap
2021-02-06,21.24196805398914,6321799769.83289,uniswap
2021-02-07,19.32316884434958,5766938732.57773,uniswap
2021-02-08,18.582838493435663,5535603356.336959,uniswap
2021-02-09,19.358305970959584,5744354009.214107,uniswap
2021-02-10,19.513946965897038,5848771610.388897,uniswap
2021-02-11,20.60618481654805,6189233659.319318,uniswap
2021-02-12,21.473246483515222,6429248007.496799,uniswap
2021-02-13,22.70225567259063,6815508552.601418,uniswap
2021-02-14,21.772030093739797,6540139184.216119,uniswap
2021-02-15,20.951094824035277,6278943841.250568,uniswap
2021-02-16,19.986754437788473,5982610726.858003,uniswap
2021-02-17,20.433062816515477,6110386492.831019,uniswap
2021-02-18,21.46977238015718,6427499907.742221,uniswap
2021-02-19,21.197035107007075,6335641981.136545,uniswap
2021-02-20,20.16573557832418,6006310925.07141,uniswap
2021-02-21,28.950034318073403,8538609828.004031,uniswap
2021-02-22,28.99642072286137,8684028167.072233,uniswap
2021-02-23,27.76431862935422,8280636144.036506,uniswap
2021-02-24,24.6815553864407,7329621210.892453,uniswap
2021-02-25,25.369173807347188,7586409970.831615,uniswap
2021-02-26,23.253500070929256,7007917770.101435,uniswap
2021-02-27,23.134226150290118,7166061055.355288,uniswap
2021-02-28,23.618194960234987,7245382879.302461,uniswap
2021-03-01,22.159001101083888,6884169920.451811,uniswap
2021-03-02,25.59269877101533,7871644853.559921,uniswap
2021-03-03,25.67386785155362,7938770686.177972,uniswap
2021-03-04,25.486634117740195,7933740066.481902,uniswap
2021-03-05,28.36821522662155,8803390260.277868,uniswap
2021-03-06,28.30845896105933,8703821762.736952,uniswap
2021-03-07,28.445598876361355,14785796370.078287,uniswap
2021-03-08,34.621393833045,18000871947.13093,uniswap
2021-03-09,33.47640430849334,17463301675.334435,uniswap
2021-03-10,32.89108641593648,17055000313.178308,uniswap
2021-03-11,30.935873695471596,16120109458.45097,uniswap
2021-03-12,31.033955819076773,16119273801.59986,uniswap
2021-03-13,31.04021663066435,16155326738.583248,uniswap
2021-03-14,32.441688716023855,16859485766.807154,uniswap
2021-03-15,31.037886683763894,16125156715.344048,uniswap
2021-03-16,29.673658313051263,15449946475.733334,uniswap
2021-03-17,29.875137275195,15471158515.32795,uniswap
2021-03-18,31.569448567574476,16441859239.593502,uniswap
2021-03-19,30.146638520374715,15673535367.824612,uniswap
2021-03-20,33.21978583518823,17308220331.30915,uniswap
2021-03-21,32.17698744603948,16725882113.925303,uniswap
2021-03-22,32.93035554410295,17114962741.79377,uniswap
2021-03-23,32.99523398020988,17238680313.11546,uniswap
2021-03-24,31.092701843068866,16055382395.307783,uniswap
2021-03-25,27.5259305169569,14351045746.375404,uniswap
2021-03-26,26.535513157787733,13766080139.981758,uniswap
2021-03-27,28.97968240145328,14986439483.527382,uniswap
2021-03-28,28.247568576614004,14681213498.574812,uniswap
2021-03-29,27.844293459051542,14479575407.089466,uniswap
2021-03-30,29.041643422657728,15091221585.909716,uniswap
2021-03-31,28.54514844671771,14830155560.657837,uniswap
2021-04-01,28.040616383225696,14611600101.943754,uniswap
2021-04-02,28.709079158061698,14932924434.375237,uniswap
2021-04-03,30.075659430929772,15638764057.077736,uniswap
2021-04-04,29.507122950273846,15421482342.437128,uniswap
2021-04-05,31.01591744556072,16153866456.885544,uniswap
2021-04-06,30.73890642419465,15962072689.870068,uniswap
2021-04-07,31.353608762428344,16309533174.93992,uniswap
