date,Equal_5_Monthly,Equal_5_Quarterly,Equal_10_Monthly,Equal_10_Quarterly,Equal_20_Monthly,Equal_20_Quarterly,Equal_50_Monthly,Equal_50_Quarterly,Capped-25_5_Monthly,Capped-25_5_Quarterly,Capped-25_10_Monthly,Capped-25_10_Quarterly,Capped-25_20_Monthly,Capped-25_20_Quarterly,Capped-25_50_Monthly,Capped-25_50_Quarterly,Proportional_5_Monthly,Proportional_5_Quarterly,Proportional_10_Monthly,Proportional_10_Quarterly,Proportional_20_Monthly,Proportional_20_Quarterly,Proportional_50_Monthly,Proportional_50_Quarterly,Square Root_5_Monthly,Square Root_5_Quarterly,Square Root_10_Monthly,Square Root_10_Quarterly,Square Root_20_Monthly,Square Root_20_Quarterly,Square Root_50_Monthly,Square Root_50_Quarterly
2021-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99999999999999,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,99.99999999999999,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-01-02,100.64452657140001,100.64452657140001,102.59384302411547,102.59384302411547,101.05764208457269,101.05764208457269,101.05764208457269,101.05764208457269,101.0861144386086,101.0861144386086,101.96744043564836,101.96744043564836,101.67497078987724,101.67497078987724,101.67497078987724,101.67497078987724,101.0861144386086,101.0861144386086,101.96744043564836,101.96744043564836,101.67497078987724,101.67497078987724,101.67497078987724,101.67497078987724,100.89040674936092,100.89040674936092,102.2460236504766,102.2460236504766,101.5288739433186,101.5288739433186,101.5288739433186,101.5288739433186
2021-01-03,98.08960027082166,98.08960027082166,100.87979247008784,100.87979247008784,99.41881909527427,99.41881909527427,99.41881909527427,99.41881909527427,98.81627007600451,98.81627007600451,100.26222767198055,100.26222767198055,100.02975618361856,100.02975618361856,100.02975618361856,100.02975618361856,98.81627007600451,98.81627007600451,100.26222767198055,100.26222767198055,100.02975618361856,100.02975618361856,100.02975618361856,100.02975618361856,98.4820649263464,98.4820649263464,100.53316322993867,100.53316322993867,99.90065241253973,99.90065241253973,99.90065241253973,99.90065241253973
2021-01-04,108.6620102080449,108.6620102080449,115.70679122995338,115.70679122995338,112.908405416139,112.908405416139,112.908405416139,112.908405416139,109.71128996616542,109.71128996616542,112.51479274290205,112.51479274290205,112.10717583730366,112.10717583730366,112.10717583730366,112.10717583730366,109.71128996616542,109.71128996616542,112.51479274290205,112.51479274290205,112.10717583730366,112.10717583730366,112.10717583730366,112.10717583730366,109.229254623282,109.229254623282,113.78508978596389,113.78508978596389,112.64474564683916,112.64474564683916,112.64474564683916,112.64474564683916
2021-01-05,115.16146084868285,115.16146084868285,123.78006774418235,123.78006774418235,117.97601354860471,117.97601354860471,117.97601354860471,117.97601354860471,117.48538005441607,117.48538005441607,119.75781995150541,119.75781995150541,118.66232321280494,118.66232321280494,118.66232321280494,118.66232321280494,117.48538005441607,117.48538005441607,119.75781995150541,119.75781995150541,118.66232321280494,118.66232321280494,118.66232321280494,118.66232321280494,116.40309355101074,116.40309355101074,121.12918721236414,121.12918721236414,118.49124386173368,118.49124386173368,118.49124386173368,118.49124386173368
2021-01-06,128.79989170158242,128.79989170158242,143.69183850870866,143.69183850870866,136.48239325023712,136.48239325023712,136.48239325023712,136.48239325023712,132.12603594719616,132.12603594719616,136.39228075286312,136.39228075286312,135.11530219111583,135.11530219111583,135.11530219111583,135.11530219111583,132.12603594719616,132.12603594719616,136.39228075286312,136.39228075286312,135.11530219111583,135.11530219111583,135.11530219111583,135.11530219111583,130.55857414325664,130.55857414325664,138.97874056991512,138.97874056991512,135.82444206514106,135.82444206514106,135.82444206514106,135.82444206514106
2021-01-07,130.3767980845125,130.3767980845125,144.76107328677296,144.76107328677296,139.81427958322945,139.81427958322945,139.81427958322945,139.81427958322945,132.47857770647227,132.47857770647227,139.14787049127327,139.14787049127327,138.3163163445016,138.3163163445016,138.3163163445016,138.3163163445016,132.47857770647227,132.47857770647227,139.14787049127327,139.14787049127327,138.3163163445016,138.3163163445016,138.3163163445016,138.3163163445016,131.49237990752428,131.49237990752428,141.39224220651394,141.39224220651394,139.25456297986898,139.25456297986898,139.25456297986898,139.25456297986898
2021-01-08,134.863448027437,134.863448027437,145.125806038613,145.125806038613,139.1546739588679,139.1546739588679,139.1546739588679,139.1546739588679,135.3356348441448,135.3356348441448,140.968742850669,140.968742850669,139.84573528197467,139.84573528197467,139.84573528197467,139.84573528197467,135.3356348441448,135.3356348441448,140.968742850669,140.968742850669,139.84573528197467,139.84573528197467,139.84573528197467,139.84573528197467,135.1515828551965,135.1515828551965,142.78209432414127,142.78209432414127,140.02376455834587,140.02376455834587,140.02376455834587,140.02376455834587
2021-01-09,133.40912442199416,133.40912442199416,144.52229690292288,144.52229690292288,137.53281622498736,137.53281622498736,137.53281622498736,137.53281622498736,133.35029980158495,133.35029980158495,139.71089012193767,139.71089012193767,138.38568022927504,138.38568022927504,138.38568022927504,138.38568022927504,133.35029980158495,133.35029980158495,139.71089012193767,139.71089012193767,138.38568022927504,138.38568022927504,138.38568022927504,138.38568022927504,133.43546745713914,133.43546745713914,141.924306370877,141.924306370877,138.66975131252465,138.66975131252465,138.66975131252465,138.66975131252465
2021-01-10,143.9983193297452,143.9983193297452,167.53555473374212,167.53555473374212,156.91073989080627,156.91073989080627,156.91073989080627,156.91073989080627,144.11393174569184,144.11393174569184,159.25261626661467,159.25261626661467,157.25007792983118,157.25007792983118,157.25007792983118,157.25007792983118,144.11393174569184,144.11393174569184,159.25261626661467,159.25261626661467,157.25007792983118,157.25007792983118,157.25007792983118,157.25007792983118,144.12214540768727,144.12214540768727,163.3050013615171,163.3050013615171,158.34495673616954,158.34495673616954,158.34495673616954,158.34495673616954
